Problem,Sampler,Radius,Time,NumSteps,Q,X0,X1
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.370089,5000,0.0005499776150577012,0.997527255948826,0.9990861783095499
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.368884,5000,0.0010742523097286418,0.999711409301932,0.9662043972425205
MinLeviFunctionNum13,PopulationSampler,15,0.698675,10000,1.804193871427168e-08,0.9999933049777342,1.0001183876292823
MinLeviFunctionNum13,PopulationSampler,15,0.683269,10000,1.3694583028199477e-07,1.0000338898621992,1.000183788431462
MinLeviFunctionNum13,PopulationSampler,15,0.681204,10000,1.58162483996157e-08,0.9999905444007522,0.9999117672534998
MinLeviFunctionNum13,PopulationSampler,15,0.681136,10000,1.0554271073111187e-08,0.999992745388498,0.9999236667666305
MinLeviFunctionNum13,PopulationSampler,15,0.681537,10000,9.350227070579787e-08,1.0000233143240633,1.0002113682427036
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.70095,10000,1.8717136852107724e-09,0.9999955301536912,1.0000087763317327
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.713203,10000,3.890026901299664e-09,1.0000032621408679,1.0000541676442973
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.707244,10000,1.7709071074276974e-09,1.0000036523789233,1.0000239297709572
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.707107,10000,2.218466378948017e-08,0.9999849084286849,0.9999584524829044
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.703405,10000,1.8407395200453505e-09,1.0000030921988294,0.9999686655671224
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.707959,10000,3.286951341365445e-08,0.9999906880071251,1.0001583679621993
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.702738,10000,1.6315123817710166e-08,1.000013305512001,0.9999796886241513
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.713021,10000,6.195866691391765e-11,1.0000002509814223,1.000007503355867
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.705312,10000,1.5521043153949479e-09,0.9999959535104072,0.9999909845030408
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.702845,10000,7.056686687357912e-10,1.00000272478771,0.999993774637621
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.714166,10000,4.6205260991350844e-08,1.000001680591822,0.9997856365674265
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.730439,10000,9.77741206650404e-09,1.000008319038228,1.0000596728461182
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.711397,10000,2.573828594600249e-09,1.0000023117110457,1.0000457580118138
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.710094,10000,1.602781724287793e-08,1.0000122416850474,1.0000506609363016
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.705888,10000,7.664729557515723e-09,1.0000092072931486,1.0000070541325896
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.7141,10000,2.1375456178193565e-09,1.0000031309153308,1.0000354543408652
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.714862,10000,7.782694356289304e-09,1.000007251688441,0.9999446918337954
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.717579,10000,1.3790734806246581e-08,0.9999887126265564,0.9999515601853635
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.71571,10000,1.2519969611504847e-08,0.999989821348482,0.9999433121994485
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.714793,10000,5.729754228598001e-08,1.000006036814899,0.9997675690253843
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.721759,10000,1.3997362221348429e-08,1.000012064445845,1.0000303816944751
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.728744,10000,1.6121112113655794e-09,0.9999958061366311,0.9999943255148904
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.728629,10000,1.311192185615867e-07,0.9999978278084765,1.000361519558975
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.722748,10000,1.4417043016253648e-09,0.9999959967810779,0.9999985278643667
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.720554,10000,5.033889937060271e-09,1.0000068798673738,1.000027967360954
